Main binary filename not available.
Type: delay
Showing nodes accounting for 1757.49s, 100% of 1757.49s total
Dropped 10 nodes (cum <= 8.79s)
      flat  flat%   sum%        cum   cum%
  1581.39s 89.98% 89.98%   1581.39s 89.98%  sync.(*Mutex).Lock
   102.08s  5.81% 95.79%    102.08s  5.81%  sync.(*WaitGroup).Wait
    49.02s  2.79% 98.58%     49.02s  2.79%  runtime.chanrecv1
       25s  1.42%   100%        25s  1.42%  runtime.selectgo
         0     0%   100%    102.08s  5.81%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).Run
         0     0%   100%    102.08s  5.81%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).RunBroken
         0     0%   100%   1581.39s 89.98%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).acquire
         0     0%   100%   1581.39s 89.98%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).brokenTask
         0     0%   100%    102.08s  5.81%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).run
         0     0%   100%   1581.39s 89.98%  github.com/doniacld/go-observability-demos/demo-03-lock-contention/internal/work.(*Store).run.func1
         0     0%   100%    102.08s  5.81%  main.(*service).compute
         0     0%   100%    127.08s  7.23%  net/http.(*ServeMux).ServeHTTP
         0     0%   100%    127.08s  7.23%  net/http.(*conn).serve
         0     0%   100%    127.08s  7.23%  net/http.HandlerFunc.ServeHTTP
         0     0%   100%    127.08s  7.23%  net/http.serverHandler.ServeHTTP
         0     0%   100%        25s  1.42%  net/http/pprof.Trace
         0     0%   100%        25s  1.42%  net/http/pprof.sleep
         0     0%   100%     24.05s  1.37%  runtime.(*traceAdvancerState).start.func1
         0     0%   100%     49.02s  2.79%  runtime.(*wakeableSleep).sleep
         0     0%   100%     24.98s  1.42%  runtime.traceStartReadCPU.func1
